state,true_shape,fitted_shape,shape_error,true_mean,fitted_mean,mean_error,shape_valid,mean_valid,n_samples,repeat
HSC,15.0,12.700392035572952,0.1533071976284699,16.5,16.630813539334007,0.007928093292970098,True,True,100,0
MPP,12.0,11.37541768434327,0.05204852630472745,13.200000000000001,12.794290104610058,0.03073559813560177,True,True,100,0
CMP,10.0,8.61851427249404,0.13814857275059608,10.5,11.173305870586098,0.06412436862724746,True,True,100,0
LMPP,8.0,8.354752527808415,0.044344065976051894,8.4,8.335089795329374,0.007727405317931722,True,True,100,0
MEP,18.0,15.254387314598958,0.15253403807783567,18.36,18.16242993409234,0.010760896835929123,True,True,100,0
GMP,20.0,20.118852792832705,0.005942639641635239,19.4,20.20177849222926,0.04132878825924024,True,True,100,0
HSC,15.0,16.32271810078605,0.08818120671907011,16.5,16.57751437506439,0.004697840912993284,True,True,100,1
MPP,12.0,12.941316247808173,0.07844302065068105,13.200000000000001,12.43159340826023,0.058212620586346256,True,True,100,1
CMP,10.0,11.327331489945777,0.13273314899457772,10.5,10.035822499335788,0.04420738101563921,True,True,100,1
LMPP,8.0,9.749575604751577,0.21869695059394711,8.4,9.158009724530281,0.09023925292027149,True,True,100,1
MEP,18.0,15.755554522331657,0.12469141542601905,18.36,18.5183405743403,0.008624214288687395,True,True,100,1
GMP,20.0,17.85381097895683,0.10730945105215853,19.4,19.387831291655324,0.0006272530074574449,True,True,100,1
HSC,15.0,13.895446188454212,0.0736369207697192,16.5,16.602049554003056,0.006184821454730663,True,True,100,2
MPP,12.0,11.428815209960769,0.04759873250326926,13.200000000000001,13.4670503428012,0.020231086575848357,True,True,100,2
CMP,10.0,11.953038501717906,0.19530385017179058,10.5,10.611658606485063,0.01063415299857746,True,True,100,2
LMPP,8.0,6.945034030899118,0.1318707461376103,8.4,8.366387976007658,0.004001431427659772,True,True,100,2
MEP,18.0,17.56827282391945,0.02398484311558609,18.36,18.357382089940696,0.00014258769386183776,True,True,100,2
GMP,20.0,15.225160125543445,0.23874199372282776,19.4,19.783634258789665,0.01977496179328175,True,True,100,2
HSC,15.0,22.086159270322696,0.4724106180215131,16.5,17.45092336217946,0.057631718919967226,False,True,100,3
MPP,12.0,13.849210010149836,0.154100834179153,13.200000000000001,13.328784499255288,0.009756401458733889,True,True,100,3
CMP,10.0,12.653756095984486,0.2653756095984486,10.5,10.964845839759397,0.044271032358037775,True,True,100,3
LMPP,8.0,8.378249713180768,0.04728121414759601,8.4,9.129646230517169,0.08686264649013913,True,True,100,3
MEP,18.0,16.758104390350713,0.0689942005360715,18.36,17.611157775964607,0.04078661350955298,True,True,100,3
GMP,20.0,24.042868474662196,0.2021434237331098,19.4,20.392559004159654,0.05116283526596164,True,True,100,3
HSC,15.0,14.813705719309214,0.01241961871271909,16.5,16.824866394575213,0.019688872398497786,True,True,100,4
MPP,12.0,12.528563578306287,0.04404696485885721,13.200000000000001,12.837199749954662,0.027484867427677202,True,True,100,4
CMP,10.0,9.251454383415686,0.07485456165843143,10.5,9.85657667440386,0.061278411961537195,True,True,100,4
LMPP,8.0,7.790913992833401,0.026135750895824872,8.4,8.08980412537436,0.036928080312576154,True,True,100,4
MEP,18.0,15.975633448325135,0.11246480842638136,18.36,18.79596856888658,0.023745564754171,True,True,100,4
GMP,20.0,18.015661091417982,0.0992169454291009,19.4,19.5377884526423,0.007102497558881495,True,True,100,4
HSC,15.0,14.017550275141481,0.06549664832390126,16.5,16.42444005921762,0.004579390350447282,True,True,500,0
MPP,12.0,11.967930231958292,0.002672480670142363,13.200000000000001,13.166403169390877,0.0025452144400851424,True,True,500,0
CMP,10.0,10.814456762034835,0.0814456762034835,10.5,10.909447539747058,0.03899500378543408,True,True,500,0
LMPP,8.0,8.0262645938459,0.0032830742307374816,8.4,8.388177375205144,0.0014074553327209874,True,True,500,0
MEP,18.0,20.4006774986604,0.1333709721478,18.36,18.427205499003257,0.0036604302289356093,True,True,500,0
GMP,20.0,20.462471850282004,0.023123592514100188,19.4,19.243856892437726,0.008048613791869698,True,True,500,0
HSC,15.0,15.307783125676883,0.02051887504512552,16.5,16.246229684050167,0.015380019148474715,True,True,500,1
MPP,12.0,11.092669694963293,0.07561085875305891,13.200000000000001,13.402733929580817,0.015358631028849707,True,True,500,1
CMP,10.0,10.099891617836573,0.009989161783657252,10.5,10.584666773285,0.008063502217619126,True,True,500,1
LMPP,8.0,7.561866739456175,0.05476665756797816,8.4,8.190598777513978,0.02492871696262169,True,True,500,1
MEP,18.0,16.910460720401733,0.06052995997768148,18.36,18.39914271302553,0.002131956047142167,True,True,500,1
GMP,20.0,20.88946770965178,0.044473385482588945,19.4,19.430399163256872,0.0015669671781893746,True,True,500,1
HSC,15.0,15.089187932214463,0.005945862147630858,16.5,16.507934432829902,0.0004808747169637727,True,True,500,2
MPP,12.0,11.77146573329713,0.019044522225239113,13.200000000000001,13.26330791998023,0.004796054543956734,True,True,500,2
CMP,10.0,9.835906732056195,0.016409326794380518,10.5,10.699976528200699,0.01904538363816178,True,True,500,2
LMPP,8.0,7.229415071512174,0.09632311606097821,8.4,8.407610688150868,0.0009060343036747044,True,True,500,2
MEP,18.0,18.54998705751629,0.030554836528682787,18.36,18.194244807661995,0.009028060584858609,True,True,500,2
GMP,20.0,18.532052119448142,0.07339739402759289,19.4,19.505635419681102,0.005445124725830082,True,True,500,2
HSC,15.0,16.117148294837527,0.07447655298916847,16.5,16.276745425727324,0.013530580258950082,True,True,500,3
MPP,12.0,12.068088921332565,0.005674076777713773,13.200000000000001,13.110564363049663,0.006775427041692253,True,True,500,3
CMP,10.0,9.847590540965419,0.015240945903458147,10.5,10.417076700208563,0.00789745712299401,True,True,500,3
LMPP,8.0,7.8787543837005956,0.015155702037425556,8.4,8.292874824452408,0.012752997088999091,True,True,500,3
MEP,18.0,16.614223857174714,0.07698756349029365,18.36,18.68818741163786,0.017875131352824595,True,True,500,3
GMP,20.0,21.012572845897683,0.05062864229488415,19.4,19.68870843542073,0.014881878114470637,True,True,500,3
HSC,15.0,14.674121459856705,0.021725236009552992,16.5,16.677519151196407,0.01075873643614586,True,True,500,4
MPP,12.0,11.890878893926757,0.009093425506103555,13.200000000000001,13.103348528822432,0.0073220811498158666,True,True,500,4
CMP,10.0,10.52854251106712,0.052854251106711915,10.5,10.342540528397064,0.014996140152660533,True,True,500,4
LMPP,8.0,8.294036476428893,0.03675455955361162,8.4,8.391363338989837,0.001028173929781326,True,True,500,4
MEP,18.0,19.520136187871582,0.08445201043731013,18.36,18.22262670753238,0.007482205472092501,True,True,500,4
GMP,20.0,19.59489354472544,0.02025532276372797,19.4,19.36089328586126,0.002015810007151524,True,True,500,4
HSC,15.0,15.139519321282306,0.00930128808548704,16.5,16.52146135215011,0.0013006880090974898,True,True,1000,0
MPP,12.0,11.246123389982968,0.0628230508347527,13.200000000000001,13.140422500828704,0.0045134469069164525,True,True,1000,0
